title,authors,year,journal,wosId
The genetics of colony form and function in Caribbean Acropora corals,"Hemond, EM; Kaluziak, ST; Vollmer, SV",2014,BMC GENOMICS,WOS:000347842600001
The Long and Winding Road of Coral Reef Recovery in the Anthropocene: A Case Study from Puerto Rico,"Hernández-Delgado, EA; Ortiz-Flores, MF",2022,DIVERSITY-BASEL,WOS:000872742200001
Composite Substrates Reveal Inorganic Material Cues for Coral Larval Settlement,"Levenstein, MA; Marhaver, KL; Johnson, AJW",2022,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,WOS:000788853100016
Spatial and Species Variations in Bacterial Communities Associated with Corals from the Red Sea as Revealed by Pyrosequencing,"Lee, OO; Yang, JK; Qian, PY",2012,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,WOS:000309328700001
Early life history of the Caribbean coral Orbicella faveolata (Scleractinia: Merulinidae),"Alvarado-Chacón, EM; Gómez-Lemos, LA; Rojas, JA",2020,REVISTA DE BIOLOGIA TROPICAL,WOS:000577180700021
Microbial Communities of Red Sea Coral Reefs,"Neave, MJ; Apprill, A; Voolstra, CR",2019,,WOS:000486991000005
Natural lesions and regeneration of ramets of Montastraea annularis (Scleractinia: Faviidae) in a degraded reef of the Colombian Caribbean,"Alvarado, E; Acosta, A",2009,REVISTA DE BIOLOGIA TROPICAL,WOS:000272168100004
"Experimental studies on microbial bioerosion at Lee Stocking Island, Bahamas and One Tree Island, Great Barrier Reef, Australia: implications for paleoecological reconstructions","Vogel, K; Gektidis, M; Radtke, G",2000,LETHAIA,WOS:000166704600005
Coral disease prevalence in the Banco Chinchorro biosphere reserve (Mexico) after hurricane dean event,"Madrigal-González, KA; Cabral-Tena, RA; Rodríguez-Zaragoza, FA",2025,MARINE BIOLOGY,WOS:001522735700001
A comparison of in situ and on-vessel larval rearing for coral seeding,"Randall, CJ; Chamberland, VF; Severati, A",2025,RESTORATION ECOLOGY,WOS:001423253900001
"Deciphering Coral Disease Dynamics: Integrating Host, Microbiome, and the Changing Environment","Thurber, RV; Mydlarz, LD; Lamb, J",2020,FRONTIERS IN ECOLOGY AND EVOLUTION,WOS:000598133900001
"Calcite raft geochemistry as a hydrological proxy for Holocene aquifer conditions in Hoyo Negro and Ich Balam (Sac Actun Cave System), Quintana Roo, Mexico","Kovacs, SE; Reinhardt, EG; Erreguerena, PL",2017,QUATERNARY SCIENCE REVIEWS,WOS:000415909900006
Depth-related and species-related patterns of Holocene reef accretion in the Caribbean and western Atlantic: a critical assessment of existing models,"Hubbard, DK",2009,,WOS:000290183800001
Degradation of marine ecosystems and decline of fishery resources in marine protected areas in the US Virgin Islands,"Rogers, CS; Beets, J",2001,ENVIRONMENTAL CONSERVATION,WOS:000174843100004
Early Holocene transgressive palaeogeography in the Po coastal plain (northern Italy),"Bruno, L; Bohacs, KM; Amorosi, A",2017,SEDIMENTOLOGY,WOS:000414943800002
"Temporal variability and impact of coral diseases and bleaching in La Parguera, Puerto Rico from 2003-2007","Weil, E; Croquer, A; Urreiztieta, I",2003,CARIBBEAN JOURNAL OF SCIENCE,WOS:000207836900009
Frequent disturbances and chronic pressures constrain stony coral recovery on Florida's Coral Reef,"Jones, NP; Ruzicka, RR; Gilliam, DS",2022,CORAL REEFS,WOS:000870663300001
The recent collapse of a rapid phase-shift reversal on a Jamaican north coast coral reef after the 2005 bleaching event,"Quinn, NJ; Kojis, BL",2005,REVISTA DE BIOLOGIA TROPICAL,WOS:000266642200011
"Syn-depositional alteration of coral reef framework through bioerosion, encrustation and cementation: Taphonomic signatures of reef accretion and reef depositional events","Perry, CT; Hepbum, LJ",2008,EARTH-SCIENCE REVIEWS,WOS:000252555200006
"Black-band disease dynamics: Prevalence, incidence, and acclimatization to light","Muller, EM; van Woesik, R",2011,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,WOS:000287113400008
Coral Reef Restoration Techniques and Management Strategies in the Caribbean and Western Atlantic: A Quantitative Literature Review,"Hodges, L; Hallock, P",2025,DIVERSITY-BASEL,WOS:001515630500001
Partial mortality in three species of reef-building corals and the relation with colony morphology,"Meesters, EH; Wesseling, I; Bak, RPM",1996,BULLETIN OF MARINE SCIENCE,WOS:A1996UP20500017
Growth dynamics in Acropora cervicornis and A. prolifera in southwest Puerto Rico,"Weil, E; Hammerman, NM; Cruz-Motta, JJ",2020,PEERJ,WOS:000512761400003
A data-calibrated distribution of deglacial chronologies for the North American ice complex from glaciological modeling,"Tarasov, L; Dyke, AS; Peltier, WR",2012,EARTH AND PLANETARY SCIENCE LETTERS,WOS:000300968600006
Stability of Reef-Coral Assemblages in the Quaternary,"Precht, WF; Aronson, RB",2016,,WOS:000388077200008
"River Streamflow, Remotely Sensed Water Quality, and Benthic Composition of Previously Undescribed Nearshore Coral Reefs in Northern Puerto Rico","Torres-Pérez, JL; Ramos-Scharrón, CE; Viqueira, R",2021,FRONTIERS IN MARINE SCIENCE,WOS:000709788200001
"Ecology of a corallivorous gastropod, Coralliophila abbreviata, on two scleractinian hosts. 1: Population structure of snails and corals","Baums, IB; Miller, MW; Szmant, AM",2003,MARINE BIOLOGY,WOS:000184344200005
Multi-stage reef development on Barbados during the Last Interglaciation,"Blanchon, P; Eisenhauer, A",2001,QUATERNARY SCIENCE REVIEWS,WOS:000168317600003
Diversity and abundance of conspicuous macrocrustaceans on coral reefs differing in level of degradation,"González-Gómez, R; Briones-Fourzán, P; Lozano-Alvarez, E",2018,PEERJ,WOS:000434853100001
"Evolution of marine terraces and sea level in the last interglacial, Cave Hill, Barbados","Speed, RC; Cheng, H",2004,GEOLOGICAL SOCIETY OF AMERICA BULLETIN,WOS:000188249100015
